"y","m","ym_num","prov","n","n_predicted","excess_mort","ratio"
1401,3,1401.20833333333,"ايلام",252,184.8,67.2,0.266666666666667
1399,4,1399.29166666667,"ايلام",309,191,118,0.381877022653722
1400,4,1400.29166666667,"ايلام",197,191,6,0.0304568527918782
1401,4,1401.29166666667,"ايلام",230,191,39,0.169565217391304
1399,5,1399.375,"ايلام",330,175.099999999999,154.900000000001,0.469393939393944
1400,5,1400.375,"ايلام",289,168.799999999999,120.200000000001,0.415916955017304
1401,5,1401.375,"ايلام",211,162.5,48.5,0.229857819905213
1399,6,1399.45833333333,"ايلام",231,200.4,30.6,0.132467532467532
1400,6,1400.45833333333,"ايلام",441,200.4,240.6,0.545578231292517
1401,6,1401.45833333333,"ايلام",201,200.4,0.599999999999994,0.00298507462686564
1399,7,1399.54166666667,"ايلام",257,195.8,61.2,0.238132295719844
1400,7,1400.54166666667,"ايلام",309,195.8,113.2,0.366343042071197
1401,7,1401.54166666667,"ايلام",174,195.8,-21.8,-0.125287356321839
1399,8,1399.625,"ايلام",544,193.8,350.2,0.64375
1400,8,1400.625,"ايلام",249,193.8,55.2,0.221686746987952
1399,9,1399.70833333333,"ايلام",409,219.6,189.4,0.463080684596577
1400,9,1400.70833333333,"ايلام",231,219.6,11.4,0.0493506493506494
1399,10,1399.79166666667,"ايلام",238,209.25,28.75,0.120798319327731
1400,10,1400.79166666667,"ايلام",185,209.25,-24.25,-0.131081081081081
1398,11,1398.875,"ايلام",170,239.8,-69.8,-0.410588235294118
1399,11,1399.875,"ايلام",215,239.8,-24.8,-0.115348837209302
1400,11,1400.875,"ايلام",232,239.8,-7.80000000000001,-0.0336206896551725
1398,12,1398.95833333333,"ايلام",202,154.5,47.5,0.235148514851485
1399,12,1399.95833333333,"ايلام",223,132.400000000001,90.5999999999985,0.406278026905823
1400,12,1400.95833333333,"ايلام",335,110.300000000003,224.699999999997,0.670746268656708
1399,1,1399.04166666667,"بوشهر",323,337,-14,-0.043343653250774
1400,1,1400.04166666667,"بوشهر",439,337,102,0.232346241457859
1401,1,1401.04166666667,"بوشهر",374,337,37,0.0989304812834225
1399,2,1399.125,"بوشهر",296,306,-10,-0.0337837837837838
1400,2,1400.125,"بوشهر",645,306,339,0.525581395348837
1401,2,1401.125,"بوشهر",381,306,75,0.196850393700787
1399,3,1399.20833333333,"بوشهر",374,308.2,65.8,0.175935828877005
1400,3,1400.20833333333,"بوشهر",446,308.2,137.8,0.308968609865471
1401,3,1401.20833333333,"بوشهر",393,308.2,84.8,0.215776081424936
1399,4,1399.29166666667,"بوشهر",566,312.4,253.6,0.448056537102474
1400,4,1400.29166666667,"بوشهر",432,312.4,119.6,0.276851851851852
1401,4,1401.29166666667,"بوشهر",411,312.4,98.6,0.239902676399027
1399,5,1399.375,"بوشهر",631,320.8,310.2,0.491600633914422
1400,5,1400.375,"بوشهر",721,320.8,400.2,0.555062413314841
1401,5,1401.375,"بوشهر",396,320.8,75.2,0.18989898989899
1399,6,1399.45833333333,"بوشهر",511,340.2,170.8,0.334246575342466
1400,6,1400.45833333333,"بوشهر",860,340.2,519.8,0.604418604651163
1401,6,1401.45833333333,"بوشهر",370,340.2,29.8,0.0805405405405406
1399,7,1399.54166666667,"بوشهر",457,400.500000000007,56.4999999999927,0.123632385120334
1400,7,1400.54166666667,"بوشهر",479,424.600000000006,54.3999999999942,0.113569937369508
1401,7,1401.54166666667,"بوشهر",307,448.700000000012,-141.700000000012,-0.461563517915347
1399,8,1399.625,"بوشهر",555,380.699999999997,174.300000000003,0.314054054054059
1400,8,1400.625,"بوشهر",376,399.399999999998,-23.3999999999978,-0.0622340425531857
1399,9,1399.70833333333,"بوشهر",457,450.499999999996,6.50000000000364,0.0142231947483668
1400,9,1400.70833333333,"بوشهر",408,468.999999999996,-60.9999999999964,-0.14950980392156
1399,10,1399.79166666667,"بوشهر",424,394,30,0.0707547169811321
1400,10,1400.79166666667,"بوشهر",409,394,15,0.0366748166259169
1398,11,1398.875,"بوشهر",390,397.4,-7.39999999999998,-0.0189743589743589
1399,11,1399.875,"بوشهر",365,397.4,-32.4,-0.0887671232876712
1400,11,1400.875,"بوشهر",443,397.4,45.6,0.10293453724605
1398,12,1398.95833333333,"بوشهر",308,359,-51,-0.165584415584416
1399,12,1399.95833333333,"بوشهر",484,359,125,0.258264462809917
1400,12,1400.95833333333,"بوشهر",655,359,296,0.451908396946565
1399,1,1399.04166666667,"تهران",6455,5184.5,1270.5,0.196824167312161
1400,1,1400.04166666667,"تهران",6363,5425.40000000002,937.599999999977,0.147351878044944
1401,1,1401.04166666667,"تهران",5084,5666.29999999999,-582.299999999988,-0.11453579858379
1399,2,1399.125,"تهران",5764,4576.2,1187.8,0.206072172102706
1400,2,1400.125,"تهران",9985,4576.2,5408.8,0.541692538808212
1401,2,1401.125,"تهران",4960,4576.2,383.8,0.0773790322580646
1399,3,1399.20833333333,"تهران",5332,5248.60000000003,83.3999999999651,0.0156414103525816
1400,3,1400.20833333333,"تهران",6577,5553.60000000003,1023.39999999997,0.155602858446095
1401,3,1401.20833333333,"تهران",5340,5858.60000000003,-518.600000000035,-0.0971161048689204
1399,4,1399.29166666667,"تهران",6244,4439.8,1804.2,0.288949391415759
1400,4,1400.29166666667,"تهران",6277,4439.8,1837.2,0.292687589612872
1401,4,1401.29166666667,"تهران",5419,4439.8,979.2,0.180697545672633
1399,5,1399.375,"تهران",8016,4650.2,3365.8,0.419885229540918
1400,5,1400.375,"تهران",9777,4650.2,5126.8,0.524373529712591
1401,5,1401.375,"تهران",4680,4650.2,29.8000000000002,0.00636752136752141
1399,6,1399.45833333333,"تهران",5913,4466.2,1446.8,0.244681210891257
1400,6,1400.45833333333,"تهران",11779,4466.2,7312.8,0.62083368707021
1401,6,1401.45833333333,"تهران",5462,4466.2,995.8,0.182314170633468
1399,7,1399.54166666667,"تهران",7396,4610.2,2785.8,0.376663061114116
1400,7,1400.54166666667,"تهران",8342,4610.2,3731.8,0.447350755214577
1401,7,1401.54166666667,"تهران",3597,4610.2,-1013.2,-0.281679177092021
1399,8,1399.625,"تهران",10358,4624.4,5733.6,0.553543155049237
1400,8,1400.625,"تهران",5964,4624.4,1339.6,0.224614352783367
1399,9,1399.70833333333,"تهران",7370,5093.4,2276.6,0.308900949796472
1400,9,1400.70833333333,"تهران",5743,5093.4,649.6,0.113111614138952
1399,10,1399.79166666667,"تهران",6408,5161.25,1246.75,0.194561485642946
1400,10,1400.79166666667,"تهران",5046,5161.25,-115.25,-0.0228398731668648
1398,11,1398.875,"تهران",4896,6028.40000000002,-1132.40000000002,-0.231290849673207
1399,11,1399.875,"تهران",4846,6310,-1464,-0.302104828724721
1400,11,1400.875,"تهران",5835,6591.59999999998,-756.599999999977,-0.129665809768634
1398,12,1398.95833333333,"تهران",4452,4773.4,-321.4,-0.0721922731356693
1399,12,1399.95833333333,"تهران",5858,4773.4,1084.6,0.185148514851485
1400,12,1400.95833333333,"تهران",8042,4773.4,3268.6,0.406441183785128
1399,1,1399.04166666667,"چهارمحال و بختياري",316,334.2,-18.2,-0.0575949367088607
1400,1,1400.04166666667,"چهارمحال و بختياري",399,334.2,64.8,0.162406015037594
1401,1,1401.04166666667,"چهارمحال و بختياري",373,334.2,38.8,0.10402144772118
1399,2,1399.125,"چهارمحال و بختياري",330,361.4,-31.4,-0.0951515151515151
1400,2,1400.125,"چهارمحال و بختياري",645,361.4,283.6,0.43968992248062
1401,2,1401.125,"چهارمحال و بختياري",364,361.4,2.60000000000002,0.00714285714285721
1399,3,1399.20833333333,"چهارمحال و بختياري",376,339.8,36.2,0.0962765957446808
1400,3,1400.20833333333,"چهارمحال و بختياري",437,339.8,97.2,0.222425629290618
1401,3,1401.20833333333,"چهارمحال و بختياري",383,339.8,43.2,0.112793733681462
1399,4,1399.29166666667,"چهارمحال و بختياري",444,352,92,0.207207207207207
1400,4,1400.29166666667,"چهارمحال و بختياري",348,352,-4,-0.0114942528735632
1401,4,1401.29166666667,"چهارمحال و بختياري",381,352,29,0.0761154855643045
1399,5,1399.375,"چهارمحال و بختياري",535,437,98,0.183177570093458
1400,5,1400.375,"چهارمحال و بختياري",407,437,-30,-0.0737100737100737
1401,5,1401.375,"چهارمحال و بختياري",365,437,-72,-0.197260273972603
1399,6,1399.45833333333,"چهارمحال و بختياري",458,490,-32,-0.0698689956331878
