"y","m","ym_num","prov","n","n_predicted","excess_mort","ratio"
1399,6,1399.45833333333,"زنجان",514,398.6,115.4,0.224513618677043
1400,6,1400.45833333333,"زنجان",813,398.6,414.4,0.509717097170972
1399,7,1399.54166666667,"زنجان",608,426.4,181.6,0.298684210526316
1400,7,1400.54166666667,"زنجان",645,426.4,218.6,0.338914728682171
1399,8,1399.625,"زنجان",868,414.8,453.2,0.522119815668203
1400,8,1400.625,"زنجان",533,414.8,118.2,0.221763602251407
1399,9,1399.70833333333,"زنجان",866,426,440,0.508083140877598
1399,10,1399.79166666667,"زنجان",593,454,139,0.234401349072513
1400,12,1400.95833333333,"زنجان",662,424.2,237.8,0.359214501510574
1400,2,1400.125,"سمنان",496,264.6,231.4,0.466532258064516
1400,3,1400.20833333333,"سمنان",340,254,86,0.252941176470588
1399,4,1399.29166666667,"سمنان",305,262.8,42.2,0.138360655737705
1400,4,1400.29166666667,"سمنان",313,262.8,50.2,0.16038338658147
1401,4,1401.29166666667,"سمنان",315,262.8,52.2,0.165714285714286
1399,5,1399.375,"سمنان",458,259.8,198.2,0.432751091703057
1400,5,1400.375,"سمنان",396,259.8,136.2,0.343939393939394
1401,5,1401.375,"سمنان",319,259.8,59.2,0.185579937304075
1400,6,1400.45833333333,"سمنان",554,305.200000000004,248.799999999996,0.44909747292418
1399,7,1399.54166666667,"سمنان",369,271.6,97.4,0.263956639566396
1400,7,1400.54166666667,"سمنان",416,271.6,144.4,0.347115384615385
1399,8,1399.625,"سمنان",658,282.4,375.6,0.570820668693009
1400,8,1400.625,"سمنان",351,282.4,68.6,0.195441595441596
1399,9,1399.70833333333,"سمنان",496,291.2,204.8,0.412903225806452
1400,9,1400.70833333333,"سمنان",389,291.2,97.8,0.251413881748072
1399,10,1399.79166666667,"سمنان",393,294,99,0.251908396946565
1399,12,1399.95833333333,"سمنان",368,267.2,100.8,0.273913043478261
1400,12,1400.95833333333,"سمنان",488,267.2,220.8,0.452459016393443
1400,3,1400.20833333333,"سيستان و بلوچستان",1351,967.6,383.4,0.283789785344189
1401,3,1401.20833333333,"سيستان و بلوچستان",1271,967.6,303.4,0.238709677419355
1399,4,1399.29166666667,"سيستان و بلوچستان",1484,989,495,0.33355795148248
1400,4,1400.29166666667,"سيستان و بلوچستان",1427,989,438,0.306937631394534
1399,5,1399.375,"سيستان و بلوچستان",1424,1040.2,383.8,0.269522471910112
1400,5,1400.375,"سيستان و بلوچستان",1793,1040.2,752.8,0.419854991634133
1400,6,1400.45833333333,"سيستان و بلوچستان",2004,1043.2,960.8,0.479441117764471
1399,10,1399.79166666667,"سيستان و بلوچستان",1544,1180.5,363.5,0.235427461139896
1400,1,1400.04166666667,"فارس",2284,1744.6,539.4,0.236164623467601
1400,2,1400.125,"فارس",3315,1738.4,1576.6,0.475595776772247
1400,3,1400.20833333333,"فارس",2235,1692.2,542.8,0.242863534675615
1401,3,1401.20833333333,"فارس",2238,1692.2,545.8,0.243878462913315
1399,4,1399.29166666667,"فارس",2467,1659,808,0.327523307661127
1400,4,1400.29166666667,"فارس",2099,1659,440,0.209623630300143
1401,4,1401.29166666667,"فارس",2053,1659,394,0.19191427179737
1399,5,1399.375,"فارس",2710,1707,1003,0.370110701107011
1400,5,1400.375,"فارس",2678,1707,971,0.362584017923824
1401,5,1401.375,"فارس",2070,1707,363,0.17536231884058
1399,6,1399.45833333333,"فارس",2035,1771.6,263.4,0.129434889434889
1400,6,1400.45833333333,"فارس",3712,1771.6,1940.4,0.522737068965517
1401,6,1401.45833333333,"فارس",2106,1771.6,334.4,0.158784425451092
1399,7,1399.54166666667,"فارس",2124,1732.2,391.8,0.184463276836158
1400,7,1400.54166666667,"فارس",2679,1732.2,946.8,0.353415453527436
1399,8,1399.625,"فارس",3880,1696.2,2183.8,0.562835051546392
1400,8,1400.625,"فارس",2305,1696.2,608.8,0.26412147505423
1399,9,1399.70833333333,"فارس",3696,1961.6,1734.4,0.469264069264069
1400,9,1400.70833333333,"فارس",2498,1961.6,536.4,0.214731785428343
1399,10,1399.79166666667,"فارس",2570,1920,650,0.252918287937743
1400,12,1400.95833333333,"فارس",3232,1836.2,1395.8,0.431868811881188
1399,1,1399.04166666667,"قزوين",737,477.9,259.1,0.351560379918589
1400,1,1400.04166666667,"قزوين",651,486.200000000001,164.799999999999,0.253149001536097
1399,2,1399.125,"قزوين",649,490.6,158.4,0.244067796610169
1400,2,1400.125,"قزوين",957,490.6,466.4,0.48735632183908
1399,3,1399.20833333333,"قزوين",658,483,175,0.265957446808511
1400,3,1400.20833333333,"قزوين",686,483,203,0.295918367346939
1401,3,1401.20833333333,"قزوين",585,483,102,0.174358974358974
1399,4,1399.29166666667,"قزوين",770,473,297,0.385714285714286
1401,4,1401.29166666667,"قزوين",579,473,106,0.18307426597582
1399,5,1399.375,"قزوين",761,522,239,0.314060446780552
1400,5,1400.375,"قزوين",664,522,142,0.213855421686747
1399,6,1399.45833333333,"قزوين",657,475.6,181.4,0.276103500761035
1400,6,1400.45833333333,"قزوين",1237,475.6,761.4,0.61552142279709
1401,6,1401.45833333333,"قزوين",558,475.6,82.4,0.147670250896057
1399,7,1399.54166666667,"قزوين",711,493.2,217.8,0.306329113924051
1400,7,1400.54166666667,"قزوين",783,493.2,289.8,0.370114942528736
1399,8,1399.625,"قزوين",1020,486,534,0.523529411764706
1400,8,1400.625,"قزوين",602,486,116,0.192691029900332
1399,9,1399.70833333333,"قزوين",876,499.8,376.2,0.429452054794521
1400,9,1400.70833333333,"قزوين",616,499.8,116.2,0.188636363636364
1399,10,1399.79166666667,"قزوين",678,513.25,164.75,0.242994100294985
1400,10,1400.79166666667,"قزوين",564,513.25,50.75,0.0899822695035461
1400,12,1400.95833333333,"قزوين",810,475.2,334.8,0.413333333333333
1399,1,1399.04166666667,"قم",664,486.4,177.6,0.267469879518072
1400,2,1400.125,"قم",914,469.8,444.2,0.485995623632385
1400,3,1400.20833333333,"قم",622,454.8,167.2,0.268810289389067
1399,4,1399.29166666667,"قم",632,460.8,171.2,0.270886075949367
1400,4,1400.29166666667,"قم",585,460.8,124.2,0.212307692307692
1401,4,1401.29166666667,"قم",597,460.8,136.2,0.228140703517588
1399,5,1399.375,"قم",817,480.6,336.4,0.411750305997552
1400,5,1400.375,"قم",1076,480.6,595.4,0.553345724907063
1399,6,1399.45833333333,"قم",589,485.2,103.8,0.176230899830221
1400,6,1400.45833333333,"قم",1454,485.2,968.8,0.666299862448418
1399,7,1399.54166666667,"قم",967,539.400000000001,427.599999999999,0.442192347466389
1400,7,1400.54166666667,"قم",902,565.599999999999,336.400000000001,0.372949002217296
1399,8,1399.625,"قم",942,462.6,479.4,0.508917197452229
1400,8,1400.625,"قم",652,462.6,189.4,0.290490797546012
1400,11,1400.875,"قم",658,505,153,0.232522796352584
1398,12,1398.95833333333,"قم",1042,480.8,561.2,0.538579654510557
1400,12,1400.95833333333,"قم",621,480.8,140.2,0.225764895330113
1399,2,1399.125,"کردستان",710,590.8,119.2,0.167887323943662
1400,2,1400.125,"کردستان",1019,590.8,428.2,0.420215897939156
1399,4,1399.29166666667,"کردستان",1406,573,833,0.592460881934566
